Working Electrode (V),Current (mA)
0.4049,1.19649
0.405526,1.18678
0.406197,1.19344
0.406861,1.18769
0.407525,1.1896
0.408256,1.19107
0.408912,1.18166
0.409635,1.18871
0.410306,1.18274
0.41094,1.1827
0.411582,1.18585
0.41229,1.17747
0.412872,1.18404
0.413602,1.17583
0.414221,1.17838
0.414885,1.17796
0.415556,1.17083
0.416205,1.17732
0.416943,1.17026
0.417555,1.1744
0.418248,1.1752
0.418912,1.16589
0.419568,1.17352
0.420232,1.16557
0.420903,1.1688
0.421589,1.16775
0.422223,1.15892
0.422902,1.16864
0.423535,1.15783
0.424177,1.16303
0.424908,1.16403
0.425519,1.15543
0.426235,1.16526
0.426921,1.15425
0.427547,1.15947
0.428256,1.15848
0.428912,1.15111
0.429583,1.15692
0.430232,1.1488
0.430873,1.15284
0.431507,1.15312
0.432163,1.14576
0.432849,1.15328
0.433565,1.14473
0.434236,1.14967
0.4349,1.15026
0.435527,1.14215
0.436213,1.15008
0.436824,1.14338
0.437503,1.14725
0.438256,1.14709
0.438867,1.1386
0.439606,1.14794
0.440225,1.13709
0.440858,1.14107
0.441545,1.13932
0.442186,1.13614
0.442857,1.14325
0.443528,1.13586
0.444177,1.13949
0.44487,1.13787
0.445482,1.13167
0.44619,1.14113
0.446876,1.13237
0.447488,1.13583
0.448181,1.13291
0.44883,1.13024
0.449509,1.13855
0.450217,1.12528
0.450821,1.132
0.45156,1.12968
0.452141,1.12658
0.452857,1.13281
0.453536,1.12551
0.45417,1.13244
0.454878,1.12965
0.455497,1.12821
0.456183,1.13373
0.456884,1.12412
0.457495,1.13037
0.458167,1.1242
0.458763,1.12302
0.459554,1.13107
0.460202,1.12188
0.460821,1.12834
0.461478,1.12177
0.462149,1.12282
0.462812,1.13049
0.463491,1.11862
0.46411,1.12558
0.464818,1.12227
0.46549,1.12384
0.466176,1.12639
0.466787,1.12033
0.467511,1.12881
0.468219,1.12276
0.468808,1.12338
0.469479,1.12802
0.470121,1.11898
0.470851,1.12575
0.47147,1.12038
0.472141,1.12162
0.472813,1.12147
0.473469,1.11504
0.474125,1.12529
0.474804,1.12035
0.475475,1.12418
0.476094,1.12434
0.476772,1.11536
0.477436,1.12455
0.478122,1.11959
0.478778,1.1216
0.479472,1.12626
0.480106,1.11748
0.480717,1.12483
0.481388,1.11755
0.482067,1.12353
0.482775,1.12216
0.483365,1.11794
0.484058,1.12647
0.484684,1.11771
0.485408,1.12079
0.486124,1.12251
0.486735,1.11706
0.487429,1.12647
0.48813,1.12182
0.488786,1.1223
0.489487,1.12298
0.490113,1.11622
0.490755,1.12324
0.491388,1.11979
0.492082,1.12233
0.492746,1.1238
0.493365,1.11488
0.494043,1.12472
0.494759,1.11573
0.495363,1.12071
0.496101,1.12179
0.49675,1.11721
0.497406,1.12355
0.498055,1.11753
0.498764,1.122
0.499412,1.12055
0.500091,1.11689
0.500792,1.12457
0.501456,1.1159
0.502097,1.12243
0.502805,1.12236
0.503439,1.11485
0.504066,1.12282
0.504774,1.1166
0.505408,1.12099
0.506072,1.1189
0.50675,1.11599
0.507444,1.12354
0.50813,1.11287
0.508749,1.11879
0.509427,1.10116
0.509957,1.09461
0.510658,1.10777
0.511262,1.10043
0.511896,1.10967
0.512612,1.10725
0.513231,1.10618
0.513932,1.11407
0.51467,1.10673
0.515266,1.11213
0.515952,1.10984
0.516549,1.1087
0.517317,1.11765
0.517973,1.10685
0.51863,1.11275
0.519308,1.10893
0.51992,1.10857
0.520539,1.11191
0.52124,1.10592
0.521874,1.11021
0.522545,1.11013
0.523193,1.10752
0.523872,1.11489
0.524551,1.10491
0.525229,1.11057
0.525885,1.10364
0.526542,1.10582
0.527235,1.11268
0.527862,1.10293
0.52854,1.10946
0.529189,1.10714
0.529786,1.10662
0.530509,1.11108
0.531158,1.09918
0.531821,1.11008
0.532493,1.10475
0.533149,1.10482
0.533835,1.11158
0.534536,1.10416
0.535147,1.11109
0.535826,1.10682
0.536475,1.10507
0.537161,1.10854
0.537817,1.10238
